"movie,year,metascore,imdb,tmeter,audience,fandango,n_metascore,n_imdb,n_tmeter,n_audience,nr_metascore,nr_imdb,nr_tmeter,nr_audience,decade,composite_score,metascore_imdb_diff"
"Morgan,2016,48,5.8,40,30,3.5,2.4,2.9,2.0,1.5,2.5,3.0,2.0,1.5,2010,2.2,-10.0"
"Mr. Church,2016,37,7.7,15,80,4.5,1.85,3.85,0.75,4.0,2.0,4.0,1.0,4.0,2010,2.6125,-40.0"
"My Big Fat Greek Wedding 2,2016,37,6.0,29,54,4.0,1.85,3.0,1.45,2.7,2.0,3.0,1.5,2.5,2010,2.25,-23.0"
"Neighbors 2: Sorority Rising,2016,58,5.7,62,45,3.5,2.9,2.85,3.1,2.25,3.0,3.0,3.0,2.0,2010,2.775,1.0"
"Nerve,2016,58,6.6,66,68,4.0,2.9,3.3,3.3,3.4,3.0,3.5,3.5,3.5,2010,3.225,-8.0"
"Nine Lives,2016,11,5.3,11,42,4.0,0.55,2.65,0.55,2.1,0.5,2.5,0.5,2.0,2010,1.4625,-42.0"
"Nocturnal Animals,2016,67,7.5,73,74,3.5,3.35,3.75,3.65,3.7,3.5,4.0,3.5,3.5,2010,3.6125,-8.0"
"Norm of the North,2016,21,3.7,8,22,3.0,1.05,1.85,0.4,1.1,1.0,2.0,0.5,1.0,2010,1.1,-16.0"
"Now You See Me 2,2016,46,6.5,34,54,4.0,2.3,3.25,1.7,2.7,2.5,3.0,1.5,2.5,2010,2.4875,-19.0"
"Office Christmas Party,2016,42,5.9,41,43,3.5,2.1,2.95,2.05,2.15,2.0,3.0,2.0,2.0,2010,2.3125,-17.0"
"Ouija: Origin of Evil,2016,65,6.1,82,58,3.5,3.25,3.05,4.1,2.9,3.0,3.0,4.0,3.0,2010,3.3249999999999997,4.0"
"Our Kind of Traitor,2016,57,6.2,71,51,3.5,2.85,3.1,3.55,2.55,3.0,3.0,3.5,2.5,2010,3.0125,-5.0"
"Passengers,2016,41,7.0,31,64,4.0,2.05,3.5,1.55,3.2,2.0,3.5,1.5,3.0,2010,2.575,-29.0"
"Patriots Day,2016,69,7.5,80,88,4.5,3.45,3.75,4.0,4.4,3.5,4.0,4.0,4.5,2010,3.9,-6.0"
"Pele: Birth of a Legened,2016,39,7.3,22,69,4.5,1.95,3.65,1.1,3.45,2.0,3.5,1.0,3.5,2010,2.5374999999999996,-34.0"
"Pete's Dragon,2016,71,6.8,87,75,4.5,3.55,3.4,4.35,3.75,3.5,3.5,4.5,4.0,2010,3.7624999999999997,3.0"
"Precious Cargo,2016,27,4.6,0,21,3.0,1.35,2.3,0.0,1.05,1.5,2.5,0.0,1.0,2010,1.175,-19.0"
"Pride and Prejudice and Zombies,2016,45,5.8,43,45,4.0,2.25,2.9,2.15,2.25,2.0,3.0,2.0,2.0,2010,2.3875,-13.0"
"Race,2016,56,7.1,60,77,4.5,2.8,3.55,3.0,3.85,3.0,3.5,3.0,4.0,2010,3.3,-15.0"
"Resident Evil: The Final Chapter,2016,49,5.8,33,58,4.0,2.45,2.9,1.65,2.9,2.5,3.0,1.5,3.0,2010,2.475,-9.0"
"Ride Along 2,2016,32,5.9,14,49,4.0,1.6,2.95,0.7,2.45,1.5,3.0,0.5,2.5,2010,1.9250000000000003,-27.0"
"Rings,2017,25,4.5,6,28,3.0,1.25,2.25,0.3,1.4,1.0,2.0,0.5,1.5,2010,1.2999999999999998,-20.0"
"Risen,2016,51,6.3,51,70,4.5,2.55,3.15,2.55,3.5,2.5,3.0,2.5,3.5,2010,2.9375,-12.0"
"Rogue One: A Star Wars Story,2016,65,8.0,85,88,4.5,3.25,4.0,4.25,4.4,3.0,4.0,4.0,4.5,2010,3.975,-15.0"
"Sausage Party,2016,66,6.3,83,52,3.5,3.3,3.15,4.15,2.6,3.5,3.0,4.0,2.5,2010,3.3,3.0"
"Shut In,2016,25,4.6,6,22,3.0,1.25,2.3,0.3,1.1,1.0,2.5,0.5,1.0,2010,1.2374999999999998,-21.0"
"Sing,2016,59,7.2,73,74,4.5,2.95,3.6,3.65,3.7,3.0,3.5,3.5,3.5,2010,3.4750000000000005,-13.0"
"Sing Street,2016,79,8.0,96,93,4.5,3.95,4.0,4.8,4.65,4.0,4.0,5.0,4.5,2010,4.35,-1.0"
"Skiptrace,2016,50,5.6,36,26,3.5,2.5,2.8,1.8,1.3,2.5,3.0,2.0,1.5,2010,2.1,-6.0"
"Sleepless,2017,33,5.5,18,49,4.0,1.65,2.75,0.9,2.45,1.5,3.0,1.0,2.5,2010,1.9375000000000002,-22.0"
